"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","creator","subjects","publisher","publicationyear"
"Physical","Horizon","BOOK","2015","1","1","Paradise walk",,"Women historians Fiction, Mystery fiction",,
"Physical","Horizon","MIXED","2015","1","1","ILLM Father of the atom Democritus and the nature of matter",,,,
"Digital","Freegal","SONG","2015","1","1","Weak","SWV",,,
"Digital","Hoopla","MUSIC","2015","1","8","Sadnecessary",,"Alternative","Republic Records",
"Digital","Freegal","SONG","2015","1","1","The Last Farewell","Jorge Rico",,,
"Digital","Freegal","SONG","2015","1","1","Takin' It To The Streets","Taylor Hicks",,,
"Digital","Freegal","SONG","2015","1","1","Catch My Breath","Kelly Clarkson",,,
"Digital","Freegal","SONG","2015","1","1","Hand Me Down World","The Guess Who",,,
"Digital","Freegal","SONG","2015","1","1","In the Name of the King","Bailey",,,
"Digital","Freegal","SONG","2015","1","1","Message in a Bottle","Graveworm",,,
"Digital","Freegal","SONG","2015","1","1","Verdade, uma ilusao","Carlinhos Brown",,,
"Digital","Freegal","SONG","2015","1","1","One More Cup Of Coffee","Bob Dylan",,,
"Digital","Hoopla","MUSIC","2015","1","1","Weird Tales",,"Rock","Ryko/Rhino",
"Digital","Freegal","SONG","2015","1","1","Planets","Teenage Fanclub",,,
"Digital","Freegal","SONG","2015","1","1","My Kind of Girl","Matt Monro",,,
"Digital","Freegal","SONG","2015","1","3","First","Cold War Kids",,,
"Physical","Horizon","BOOK","2015","1","1","Théâtre.","Molière, 1622-1673",,"Plon","[1930]"
"Digital","Freegal","SONG","2015","1","1","I'm Trash","Penetration Moon",,,
"Digital","Freegal","SONG","2015","1","1","My Jesus Told Me So","The Marshall Tucker Band",,,
"Digital","Hoopla","MUSIC","2015","1","1","Peace Sells...But Who's Buying",,"Hard Rock/Metal","Capitol Records",
"Digital","Hoopla","MOVIE","2015","1","1","The Border Wall",,"Documentary","Monarch Films, Inc.",
"Digital","Freegal","SONG","2015","1","2","I'm Sorry","Brenda Lee",,,
"Digital","Freegal","SONG","2015","1","1","Under A Spanish Moon","Tom Gannaway",,,
"Digital","Hoopla","TELEVISION","2015","1","1","Part V",,"Anime","Starz Digital Media",
"Physical","Horizon","BOOK","2015","1","1","physics of imaginary objects",,"Short stories, Experimental fiction",,
"Digital","Hoopla","MUSIC","2015","1","1","Strauss, Richard : Elektra",,"Classical","Warner Classics International",
"Digital","Freegal","SONG","2015","1","1","Kubula Ma","Karunesh",,,
"Digital","Freegal","SONG","2015","1","1","King Of The Road","Faron Young",,,
"Digital","Hoopla","MOVIE","2015","1","3","Ken Burns: The Brooklyn Bridge",,"American, History","PBS",
"Digital","Freegal","SONG","2015","1","1","Rock You Like a Hurricane","Scorpions",,,
"Digital","Freegal","SONG","2015","1","1","Green Eyes And A Heart Of Gold","The Lone Bellow",,,
"Digital","Freegal","SONG","2015","1","1","Do You Hear What I Hear?","Jewel",,,
"Digital","Freegal","SONG","2015","1","1","March On Washington - Lincoln Memorial","Martin Luther King, Jr.",,,
"Digital","Freegal","SONG","2015","1","1","She Bop","Cyndi Lauper",,,
"Digital","OverDrive","EBOOK","2015","1","4","Aleph","Paulo Coelho","Fiction, Literature","Random House, Inc.","2011"
"Digital","Freegal","SONG","2015","1","1","Simple Pleasures","Basia",,,
"Digital","Freegal","SONG","2015","1","2","Am I Wrong","Kidz Bop Kids",,,
"Digital","Freegal","SONG","2015","1","1","Adios Papa","Pancho Barraza",,,
"Digital","Hoopla","MOVIE","2015","1","1","Santorini Blue",,"Comedy, Indie, Romance, Romantic Comedy","Gravitas Ventures",
"Digital","Hoopla","TELEVISION","2015","1","1","Traffic",,"Family","Starz Digital Media",
"Digital","Freegal","SONG","2015","1","1","The Writing's on the Wall","OK Go",,,
"Digital","Freegal","SONG","2015","1","1","Gol na mBan san Ar","William Coulter",,,
"Physical","Horizon","BOOK","2015","1","1","history of the Vikings",,"Vikings, Scandinavia Civilization",,
"Digital","Freegal","SONG","2015","1","1","Hallelujah","The Singletons",,,
"Digital","Freegal","SONG","2015","1","1","Battlefield","Jordin Sparks",,,
"Digital","Freegal","SONG","2015","1","1","Heroes","Casting Crowns",,,
"Digital","OverDrive","EBOOK","2015","1","15","Five: A Novel","Ursula Archer","Fiction, Mystery","Macmillan Publishers","2014"
"Digital","Freegal","SONG","2015","1","4","Uptown Girl","Billy Joel",,,
"Physical","Horizon","BOOK","2015","1","1","Enchantée / Angie Estes.","Estes, Angie",,"Oberlin College Press,","[2013]"
"Physical","Horizon","SOUNDDISC","2015","1","2","origin of species",,"Evolution, Natural selection, Natural history",,
"Physical","Horizon","BOOK","2015","1","1","Remise de peine / Patrick Modiano.","Modiano, Patrick, 1945-",,"Seuil,","c1988."
"Physical","Horizon","BOOK","2015","1","1","Pawn of prophecy",,"Garion Fictitious character Fiction",,
"Digital","Freegal","SONG","2015","1","1","Watch TV (Main Mix)","YT",,,
"Digital","Freegal","SONG","2015","1","1","Ain't Gonna Drown","Elle King",,,
"Digital","Freegal","SONG","2015","1","1","Born and Raised","John Mayer",,,
"Digital","Freegal","SONG","2015","1","1","Quiero","Shakira",,,
"Digital","Hoopla","MUSIC","2015","1","1","Moondance",,"Pop","Warner Bros.",
"Digital","Freegal","SONG","2015","1","1","Aray haray","Khaled",,,
"Digital","Freegal","SONG","2015","1","1","Everybody Loves To Cha Cha Cha","James Taylor",,,
"Digital","Freegal","SONG","2015","1","1","Step Into The Light","Original Broadway Cast",,,
"Digital","Freegal","SONG","2015","1","1","Burning A Hole In My Mind","Connie Smith",,,
"Physical","Horizon","BOOK","2015","1","1","Rick Steves Eastern Europe",,"Europe Eastern Guidebooks",,
"Digital","Freegal","SONG","2015","1","1","Speak to Me of Love","Duke Ellington",,,
"Digital","Freegal","SONG","2015","1","1","Offertorium Pastorale","Ljerka Ocic",,,
"Physical","Horizon","SOUNDDISC","2015","1","2","Neu",,"Rock music 1971 1980, Electronic music",,
"Digital","Freegal","SONG","2015","1","1","Your Love Keeps Lifting Me","The Originals,The Supremes",,,
"Digital","Hoopla","MUSIC","2015","1","1","Yiddishbbuk",,"Classical","Warner Classics (Parlophone)",
"Digital","Hoopla","TELEVISION","2015","1","2","Episode 4",,"Drama","Mammoth",
"Digital","Freegal","SONG","2015","1","1","Rize Of The Fenix","Tenacious D",,,
"Physical","Horizon","SOUNDDISC","2015","1","1","Shine",,"Country music 2001 2010",,
"Digital","Freegal","SONG","2015","1","1","80's Girl","Descendents",,,
"Digital","Freegal","SONG","2015","1","1","Close The Door","Teddy Pendergrass",,,
"Digital","Freegal","SONG","2015","1","1","Caribbean Queen (No More Love On The Run)","Billy Ocean",,,
"Digital","Freegal","SONG","2015","1","1","Homeless","Paul Simon with Ladysmith Black Mambazo",,,
"Digital","Freegal","SONG","2015","1","1","Love in a Home (From ""Li'l Abner"")","Mario Lanza",,,
"Digital","Freegal","SONG","2015","1","1","My Man's Gone Now","Miles Davis",,,
"Digital","Freegal","SONG","2015","1","1","Boy Chucker","Rocket from the Crypt",,,
"Digital","Hoopla","TELEVISION","2015","1","1","Venice",,"Food & Cooking","Fremantle",
"Digital","Hoopla","TELEVISION","2015","1","1","The Escape Artist",,"Comedy","MGM",
"Digital","Freegal","SONG","2015","1","1","Shot by Both Sides","Magazine",,,
"Digital","OverDrive","EBOOK","2015","1","2","Birdman","Mo Hayder","Fiction, Suspense","Random House, Inc.","2011"
"Digital","Freegal","SONG","2015","1","1","Help You Think","Slipknot",,,
"Digital","Freegal","SONG","2015","1","1","Suite Of The Pyrenees (Suite Pyreneenne)","Gheorghe Zamfir",,,
"Physical","Horizon","MIXED","2015","1","2","ILLM Death in four letters",,,,
"Physical","Horizon","BOOK","2015","1","1","What are levers",,"Levers Juvenile literature",,
"Digital","Hoopla","MUSIC","2015","1","1","The New Danger",,"Hip-Hop/Rap","Interscope",
"Digital","Freegal","SONG","2015","1","1","Heartbreak Warfare","John Mayer",,,
"Digital","Freegal","SONG","2015","1","1","Carnival Of Souls","Saviour Machine",,,
"Digital","Freegal","SONG","2015","1","1","My World","Jorge Rico",,,
"Digital","Freegal","SONG","2015","1","1","Big Wind","Dolly Parton",,,
"Digital","Freegal","SONG","2015","1","1","You Oughta Be Home With Me","Barry Manilow",,,
"Digital","Freegal","SONG","2015","1","2","Cry Me A River","Justin Timberlake",,,
"Digital","Freegal","SONG","2015","1","1","King of Wishful Thinking (Live)","Go West",,,
"Digital","Freegal","SONG","2015","1","1","Begin the Beguine","Xavier Cugat",,,
"Digital","Hoopla","TELEVISION","2015","1","1","Twist it Out Yoga",,"Health & Fitness","Gaiam",
"Digital","Freegal","SONG","2015","1","1","I Ain't In Checotah Anymore","Carrie Underwood",,,
"Digital","Freegal","SONG","2015","1","1","One Bourbon, One Scotch, One Beer (Glee Cast Version)","Glee Cast",,,
"Digital","Freegal","SONG","2015","1","1","Moondance","Vitamin String Quartet",,,
"Physical","Horizon","BOOK","2015","1","1","Nine coaches waiting / Mary Stewart.","Stewart, Mary, 1916-2014","Romantic suspense fiction, Love stories","Chicago Review Press,","2006."
"Digital","OverDrive","EBOOK","2015","1","1","Another Man's Baby","Kay Stockham","Fiction, Heart & Home, Romance","Harlequin Enterprises, Ltd.","2008"
"Physical","Horizon","BOOK","2015","1","2","Selected short stories of William Faulkner.","Faulkner, William, 1897-1962",,"Modern Library,","1993."
"Digital","Freegal","SONG","2015","1","1","Sin Wagon","Dixie Chicks",,,
"Physical","Horizon","SOUNDDISC","2015","1","6","Adding up the wasted hours [sound recording] / the Lonely Forest.","Lonely Forest (Musical group)","Rock music 2011 2020","Chop Shop/Republic Records,","p2013."
"Digital","Freegal","SONG","2015","1","1","Viah Kartare Da","Panjabi Mc",,,
"Physical","Horizon","BOOK","2015","1","1","Bolívar : American liberator / Marie Arana.","Arana, Marie.","Bol¡var Sim¢n 1783 1830, Heads of state South America Biography, South America History Wars of Independence 1806 1830","Simon & Schuster,","2013."
"Physical","Horizon","BOOK","2015","1","1","Back on Blossom Street / Debbie Macomber.","Macomber, Debbie","Female friendship Fiction, Cancer Patients Fiction, Knitters Persons Fiction, Knitting Fiction, Seattle Wash Fiction, Love stories","MIRA Books,","c2007."
"Digital","OverDrive","AUDIOBOOK","2015","1","2","Murderville: Murderville Trilogy, Book 1 (unabridged) (Unabridged)","Ashley & JaQuavis","African American Fiction, Fiction, Romance, Urban Fiction","Blackstone Audio, Inc.","2011"
"Digital","Freegal","SONG","2015","1","1","The Next Ten Minutes","Adam Kantor;Betsy Wolfe",,,
"Physical","Horizon","SOUNDDISC","2015","1","2","Tinker Bell and the lost treasure [sound recording] : songs from and inspired by Disney fairies.",,"Motion picture music Juvenile sound recordings, Motion picture music","Walt Disney Records,","p2009."
"Physical","Horizon","BOOK","2015","1","2","Mining the social web / Matthew A. Russell.","Russell, Matthew A. (Computer scientist)","Data mining, Online social networks","O'Reilly,","c2011."
"Physical","Horizon","BOOK","2015","1","2","He was there from the day we moved in / story by Rhoda Levine ; drawings by Edward Gorey.","Levine, Rhoda","Sheep dogs Juvenile fiction, Dogs Fiction, Family life Fiction, Names Juvenile fiction","New York Review Books,","2012."
"Physical","Horizon","BOOK","2015","1","1","The weekend chef : 192 smart recipes for relaxed cooking ahead / Barbara Witt.","Witt, Barbara, 1930-","Make ahead cooking","Simon & Schuster,","c2003."
"Physical","Horizon","BOOK","2015","1","1","L︠i︡ubima︠i︡a uli︠t︡sa / Frida Vigdorova.","Vigdorova, F. (Frida)","Families Soviet Union Fiction, Soviet Union Social conditions Fiction","Astrelʹ,","2012."
"Physical","Horizon","SOUNDDISC","2015","1","1","Who's got your back [sound recording] : [the breakthrough program to build deep, trusting relationships that create success--and won't let you fail] / Keith Ferrazzi.","Ferrazzi, Keith","Success in business, Success, Interpersonal relations","Random House Audio,","p2009."
"Physical","Horizon","BOOK","2015","1","6","Bunny days / Tao Nyeu.","Nyeu, Tao","Rabbits Juvenile fiction, Animals Infancy Juvenile fiction, Goats Juvenile fiction, Bears Juvenile fiction","Dial Books for Young Readers,","c2010."
