"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","creator","subjects","publisher","publicationyear"
"Digital","OverDrive","EBOOK","2017","8","3","Culdesac: War with No Name Series, Book 1.5","Robert Repino","Fantasy, Fiction, Science Fiction","Random House, Inc.","2016"
"Digital","OverDrive","EBOOK","2017","8","13","Among Others","Jo Walton","Fiction, Science Fiction","Hachette Livre UK","2012"
"Physical","Horizon","BOOK","2017","8","1","The divine comedy / Dante Alighieri ; translated by John Ciardi.","Dante Alighieri, 1265-1321",,"Norton,","c1977."
"Digital","Hoopla","MOVIE","2017","8","1","Against The Grain",,"Documentary","Against the Grain Productions, LLC",
"Physical","Horizon","BOOK","2017","8","23","Biscuit feeds the pets / story by Alyssa Satin Capucilli ; pictures by Pat Schories.","Capucilli, Alyssa Satin, 1957-","Pet shops Juvenile fiction, Dogs Juvenile fiction, Animals Infancy Juvenile fiction, Pet shops Fiction, Helpfulness Fiction, Dogs Fiction, Animals Infancy Fiction","Harper,","[2016]"
"Digital","Hoopla","MOVIE","2017","1","2","Hideous Kinky",,"Drama","Samuel Goldwyn Films, LLC",
"Digital","Freegal","SONG","2017","1","4","Have Yourself a Merry Little Christmas","Kelly Clarkson",,,
"Digital","Freegal","SONG","2017","1","1","Stubb","Ricky Skaggs & Bruce Hornsby",,,
"Digital","Freegal","SONG","2017","1","1","Long Tall Sally","Little Richard",,,
"Digital","Hoopla","TELEVISION","2017","1","4","Quantified Self-Assessment for Therapy",,"Educational","The Great Courses",
"Digital","Zinio","MAGAZINE","2017","1","76","Outside",,,,
"Digital","Freegal","SONG","2017","1","2","Bucket","Kenny Chesney",,,
"Digital","Freegal","SONG","2017","1","1","Limao","Raquel Tavares",,,
"Digital","Freegal","SONG","2017","1","1","Hometown Glory","Adele",,,
"Digital","Freegal","SONG","2017","1","1","Leonore Overture No. 3, Op. 72","Alexander Titov;The New Classical Orchestra",,,
"Digital","Freegal","SONG","2017","1","1","Limber","Bo Diddley",,,
"Digital","Hoopla","MUSIC","2017","1","1","Cupid Deluxe",,"Alternative","Domino Recording Co.",
"Digital","Freegal","SONG","2017","1","1","Gentle Persuasion","Doug Hream Blunt",,,
"Digital","Freegal","SONG","2017","1","1","It's Just the Rain","Journey",,,
"Digital","Hoopla","MUSIC","2017","1","1","Powerslave",,"Hard Rock/Metal","Iron Maiden",
"Digital","Hoopla","MUSIC","2017","1","6","The Return Of East Atlanta Santa",,"Hip-Hop/Rap","Guwop Enterprises/Atlantic",
"Digital","Freegal","SONG","2017","1","1","The Song Is You","The Claude Williamson Trio",,,
"Digital","Freegal","SONG","2017","1","1","Chipsters","Ultrasyd",,,
"Digital","Freegal","SONG","2017","1","1","Askim bahardi","Pink Martini",,,
"Digital","Freegal","SONG","2017","1","1","A Toast To Those Who Are Gone","Phil Ochs",,,
"Digital","Freegal","SONG","2017","1","1","Blue Train","John Coltrane",,,
"Digital","Freegal","SONG","2017","1","1","Come Get To This","Marvin Gaye",,,
"Digital","Hoopla","TELEVISION","2017","1","1","Dharma in the Bhagavad Gita",,"Educational","The Great Courses",
"Digital","Freegal","SONG","2017","1","1","Zirkus Renz","Philharmonic Wind Orchestra, Marc Reift",,,
"Digital","Hoopla","TELEVISION","2017","1","1","Going Dutch",,"Comedy","Tricon Films and Television",
"Digital","Hoopla","MUSIC","2017","1","1","Kiss Me Once Live At The Sse Hydro",,"Pop","Parlophone UK",
"Digital","Hoopla","TELEVISION","2017","1","1","End Of Nights Part II",,"Sci-Fi & Fantasy","Entertainment One",
"Digital","OverDrive","EBOOK","2017","1","1","Perla","Carolina De Robertis","Fiction, Literature","Random House, Inc.","2012"
"Digital","Hoopla","COMIC","2017","1","1","Green Arrow: Year One",,"Media Tie-In, Superhero","DC Comics",
"Digital","Freegal","SONG","2017","1","1","Patti Peru","Public Access T.V.",,,
"Digital","Freegal","SONG","2017","1","1","Revelation Revolution","Screaming Trees",,,
"Digital","Freegal","SONG","2017","1","1","Like A God","Florence Henderson",,,
"Digital","Freegal","SONG","2017","1","1","Allegro for Piano in F Major, K. 1c","Lang Lang",,,
"Digital","Freegal","SONG","2017","1","1","Games","Bakermat feat. Marie Plassard",,,
"Digital","Freegal","SONG","2017","1","1","December Morning","Jim Brickman",,,
"Digital","Hoopla","MUSIC","2017","1","1","Alchemy",,"Electronic","Upstream Records",
"Digital","Freegal","SONG","2017","1","1","Girl of Constant Sorrow","Joan Baez",,,
"Digital","Hoopla","MUSIC","2017","1","1","Wake Up (Deluxe)",,"Pop","Island Records",
"Digital","Freegal","SONG","2017","1","2","When a Man Loves a Woman","Percy Sledge",,,
"Digital","Hoopla","TELEVISION","2017","1","1","Battlefield Marshank",,"Children's","Nelvana",
"Digital","Hoopla","TELEVISION","2017","1","1","Bonaparte Seizes Power",,"Educational","The Great Courses",
"Digital","Freegal","SONG","2017","1","1","Beach Boy (Bonus Track)","Wonfu",,,
"Digital","Hoopla","TELEVISION","2017","1","3","First Steps",,"Science","PBS",
"Digital","Hoopla","MUSIC","2017","1","1","Mucha Cosa Buena",,"Latino","WEA Latina",
"Digital","Hoopla","MOVIE","2017","1","1","Teen Lust",,"Horror","Phase 4 Films",
"Digital","Freegal","SONG","2017","1","4","Float On","Modest Mouse",,,
"Digital","Freegal","SONG","2017","1","2","Perfume (The Dreaming Mix)","Britney Spears",,,
"Digital","Hoopla","MOVIE","2017","1","1","A Kiss And A Promise",,"Suspense / Thriller","All Channel Films",
"Digital","Freegal","SONG","2017","1","1","Rocking the Night Away","Witch Cross",,,
"Digital","Hoopla","MUSIC","2017","1","1","Robbie Fulks on Audiotree Live",,"Country","Audiotree Music",
"Digital","Freegal","SONG","2017","1","1","Copenhagen (Let Me Go)","Vienna Teng",,,
"Digital","Hoopla","MOVIE","2017","1","1","The Capture",,"Classics, Drama","Film Chest Media Group",
"Digital","Freegal","SONG","2017","1","1","Happy Birthday","""Weird Al"" Yankovic",,,
"Digital","Hoopla","MOVIE","2017","1","1","How Much is a Million",,"Children's","RRKidz, Inc.",
"Digital","OverDrive","AUDIOBOOK","2017","1","3","Little Nothing (Unabridged)","Marisa Silver","Fiction","Dreamscape Media, LLC","2016"
"Digital","OverDrive","EBOOK","2017","1","1","Silent Scream","Karen Rose","Fiction, Romance, Suspense","Hachette Digital, Inc.","2013"
"Digital","OverDrive","EBOOK","2017","1","2","King Solomon's Carpet","Ruth Rendell","Fiction, Mystery","Open Road Integrated Media","2011"
"Digital","OverDrive","EBOOK","2017","1","6","On the Road","Jack Kerouac","Classic Literature, Fiction, Literature","Penguin Group (USA), Inc.","2011"
"Digital","OverDrive","EBOOK","2017","1","1","Long Lost Lyman","Jim Davis","Comic and Graphic Books, Juvenile Fiction","Macmillan Publishers","2015"
"Digital","Freegal","SONG","2017","1","1","Success","Loretta Lynn",,,
"Digital","Freegal","SONG","2017","1","1","Lost in the Fog","The Album Leaf",,,
"Digital","Hoopla","MOVIE","2017","1","3","War, Inc.",,"Action & Adventure, Assassins, Comedy, Crime","Millennium Entertainment",
"Digital","Freegal","SONG","2017","1","1","I See Cecelia","Maia Sharp",,,
"Digital","OverDrive","EBOOK","2017","1","2","Girl in Translation","Jean Kwok","Fiction, Literature","Penguin Group (USA), Inc.","2010"
"Digital","OverDrive","EBOOK","2017","1","1","To Catch a Cat","Marian Babson","Fiction, Mystery","Macmillan Publishers","2013"
"Digital","Freegal","SONG","2017","1","1","Above All (Instrumental Version)","The Hit Co.",,,
"Digital","Hoopla","TELEVISION","2017","1","1","Glenribbeen Lodge, Lismore, County Waterford",,"Reality TV","Dreamscape Media,LLC",
"Physical","Horizon","BOOK","2017","1","4","Gorillas / Gail Gibbons.","Gibbons, Gail","Gorilla Juvenile literature","Holiday House,","c2011."
"Digital","OverDrive","EBOOK","2017","1","2","Only His","Elizabeth Lowell","Fiction, Romance","HarperCollins Publishers Inc.","2005"
"Digital","OverDrive","EBOOK","2017","1","1","Forensic Songs","Mike McCormack","Fiction, Literature, Short Stories","Perseus Books Group","2014"
"Digital","Freegal","SONG","2017","1","1","Sonata for Keyboard in F Major, Kk. 44 (L. 432)","Charles Rosen,Domenico Scarlatti",,,
"Digital","Hoopla","COMIC","2017","1","9","Saga Vol. 6",,"Fantasy, Sci-Fi","Image Comics",
"Digital","OverDrive","EBOOK","2017","1","1","The Culture of War","Martin van Creveld","History, Military, Nonfiction","Random House, Inc.","2008"
