"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","creator","subjects","publisher","publicationyear"
"Digital","Freegal","SONG","2013","1","1","Daredevil","Fiona Apple",,,
"Digital","Freegal","SONG","2013","1","1","A New Way of Driving","B.B. King",,,
"Digital","Freegal","SONG","2013","1","1","Tuesday Afternoon","Moody Blues",,,
"Digital","Freegal","SONG","2013","1","1","Time After Time","Ozzy Osbourne",,,
"Physical","Horizon","BOOK","2013","1","1","Leprechaun gold",,"Leprechauns Fiction",,
"Physical","Horizon","SOUNDDISC","2013","1","1","Dont feed da animals",,"Rap Music",,
"Digital","Freegal","SONG","2013","1","3","Six Degrees Of Separation","The Script",,,
"Digital","Freegal","SONG","2013","1","1","Nasty Naughty Boy","Christina Aguilera",,,
"Digital","Freegal","SONG","2013","1","1","Questa o quella from Rigoletto","Luciano Pavarotti",,,
"Physical","Horizon","BOOK","2013","1","1","new book of the horse",,"Horsemanship, Horse sports, Horses",,
"Physical","Horizon","BOOK","2013","1","2","Tough cookie",,"Cookies Fiction, Humorous stories",,
"Physical","Horizon","BOOK","2013","1","1","clue of the new shoe",,"Large type books",,
"Physical","Horizon","BOOK","2013","1","1","Moors last sigh",,,,
"Physical","Horizon","BOOK","2013","1","1","Dinner at the Homesick Restaurant",,,,
"Digital","Freegal","SONG","2013","1","1","Hot You're Hot","Sly & Robbie",,,
"Digital","Freegal","SONG","2013","1","1","Greenwood","Buddy Whittington",,,
"Digital","Freegal","SONG","2013","1","1","Jeanie with The Light Brown Hair","Norio Maeda",,,
"Physical","Horizon","SOUNDDISC","2013","1","2","Love",,"Popular music 2001 2010",,
"Digital","Freegal","SONG","2013","1","1","Leaves","The Gathering",,,
"Digital","Freegal","SONG","2013","1","1","Fade Away","Bruce Springsteen",,,
"Physical","Horizon","SOUNDDISC","2013","1","2","Aquarium",,"Rock music 1991 2000",,
"Digital","Freegal","SONG","2013","1","3","Shiver Shiver","WALK THE MOON",,,
"Digital","Freegal","SONG","2013","1","1","Call Of The Wild","Pitbull",,,
"Physical","Horizon","BOOK","2013","1","2","<Unknown Title>",,"Cooking",,
"Physical","Horizon","BOOK","2013","1","1","patient a novel",,"Mystery fiction, Medical novels",,
"Digital","Freegal","SONG","2013","1","1","Diamonds","Shine Bright Like a Diamond,Diamonds,Like Diamonds in the Sky",,,
"Physical","Horizon","BOOK","2013","1","1","heroin chronicles",,"Heroin abuse Fiction, Short stories",,
"Physical","Horizon","BOOK","2013","1","2","Concrete mixers",,"Concrete mixers Juvenile literature, Concrete mixers",,
"Physical","Horizon","BOOK","2013","1","1","Terrain skiing how to master tough skiing like the experts",,"Skis and skiing",,
"Digital","OverDrive","EBOOK","2013","1","1","The Teahouse Fire","Ellis Avery","Fiction","Penguin Group (USA), Inc.","2009"
"Physical","Horizon","BOOK","2013","1","3","Hyperion / Dan Simmons.","Simmons, Dan, 1948-",,"Doubleday,","c1989."
"Physical","Horizon","BOOK","2013","1","1","Two ways to count to ten a Liberian folktale",,"Folklore Africa",,
"Physical","Horizon","BOOK","2013","1","1","Tracks of an intruder",,"Hunting Thailand, Thailand Description and travel",,
"Digital","OverDrive","EBOOK","2013","1","1","Shooting Stars","Allison Rushby","Young Adult Fiction","Bloomsbury USA","2012"
"Digital","Freegal","SONG","2013","1","1","Family Man","Daryl Hall & John Oates",,,
"Physical","Horizon","SOUNDDISC","2013","1","1","England half English",,"Rock music 2001 2010",,
"Physical","Horizon","BOOK","2013","1","2","Muggie Maggie",,"Penmanship Fiction, Schools Fiction",,
"Digital","OverDrive","EBOOK","2013","1","2","Blow Your Mind","Eric Pete","Fiction, Romance","Penguin Group (USA), Inc.","2008"
"Digital","OverDrive","EBOOK","2013","1","3","A Thread of Grace","Mary Doria Russell","Fiction","Random House, Inc.","2009"
"Physical","Horizon","BOOK","2013","1","1","hip handbag book 25 easy to make totes purses and bags",,"Handbags, Tote bags",,
"Physical","Horizon","BOOK","2013","1","7","man who smiled",,"Detectives Sweden Fiction, Mystery fiction",,
"Digital","Freegal","SONG","2013","1","2","One Day More","Les Miserables Original London Cast",,,
"Physical","Horizon","BOOK","2013","1","1","Exploring spellcraft how to create and cast effective spells",,"Witchcraft, Charms, Magic",,
"Digital","Freegal","SONG","2013","1","1","Tip Of My Tongue","Beatles Tribute",,,
"Digital","Freegal","SONG","2013","1","2","Defying Gravity (Glee Cast Version)","Glee Cast",,,
"Physical","Horizon","BOOK","2013","1","1","Flow in sports",,"Sports Psychological aspects, Athletes Psychology, Happiness",,
"Digital","OverDrive","EBOOK","2013","1","3","Plainsong","Kent Haruf","Fiction, Literature","Random House, Inc.","2012"
"Physical","Horizon","BOOK","2013","1","3","Shawls two.",,"Knitting Patterns, Shawls","Sixth & Spring Books,","2008."
"Digital","OverDrive","AUDIOBOOK","2013","1","1","Nevada (Unabridged)","Zane Grey","Fiction, Western","Books In Motion","2008"
"Physical","Horizon","BOOK","2013","1","2","Flowers / Paul Killebrew.","Killebrew, Paul",,"Canarium Books,","c2010."
"Physical","Horizon","BOOK","2013","1","1","Christie's art nouveau / Fiona Gallagher.","Gallagher, Fiona","Art nouveau","Watson-Guptill,","2000."
